name,year,ipo_id,slug,url,listing_gain_pct,issue_price,listing_price,listing_date,listing_date_raw,face_value,price_band_low,price_band_high,offer_price,lot_size,sale_type,exchange,issue_size_cr,fresh_issue_cr,nse_symbol,bse_code,isin,ronw,promoter_holding_pre,market_cap_cr,fresh_issue_pct,promoter_holding_post,qib_sub,hni_sub,rii_sub,total_sub,anchor_data_available,has_top_anchor,qib_retail_ratio,sub_intensity_score,gmp_data_available,nse_ticker,listing_price_actual,return_1M,return_3M,return_6M,return_1Y,alpha_1M,alpha_3M,alpha_6M,alpha_1Y,nifty_at_listing,nifty_30d_return_pct,nifty_7d_return_pct,vix_at_listing,target_listing_positive,target_listing_gt10,target_listing_gt20,target_1y_positive,target_1y_gt25,target_beat_nifty,ofs_cr,ofs_pct,employee_sub,roe,roce,anchor_price,anchor_pct_of_qib,anchor_investors_count,anchor_names_sample,anchor_amount_cr,total_assets_cr,revenue_cr,pat_cr,net_worth_cr,reserves_cr,total_debt_cr,debt_equity,pat_margin_pct,eps,pe_ratio,revenue_per_share,price_to_book,sector,book_value,face_value_screener,ebitda_cr,ebitda_margin_pct,pb_ratio_screener
D B Realty Ltd.,2010,2010_224,db_realty_ipo,https://www.chittorgarh.com/ipo/db_realty_ipo/224/,-2.52,468.0,456.2,"Wed, Feb 24, 2010","Wed, Feb 24, 2010",10.0,468.0,486.0,468.0,14.0,Bookbuilding IPO,"BSE, NSE",1500.0,1500.0,DBREALTY,533160.0,INE879I01012,17.99,73.75,11384.51,100.0,60.57,4.4679,4.246,0.3658,2.4407,1.0,1.0,12.214,3.58,0,DBREALTY,456.2,-1.16,-9.57,-5.27,-76.91,-10.3,-13.85,-17.7,-85.23,4859.75,-2.96,-0.57,29.55,0,0,0,0.0,0.0,0.0,,,,-254.0,-138.0,468.0,28.89,6.0,INDIA CAPITAL FUND LTD. | INDIA CAPITAL | JANUS CONTRARIAN FUND | JANUS | ING JANUS CONTRARIAN PORTFOLIO,,,318.0,13.0,243.0,,658.0,2.71,4.09,0.53,100.0,,,Real Estate,747.0,100.0,41.0,12.89,100.0
DQ Entertainment (International) Ltd.,2010,2010_231,dq_entertainment_ipo,https://www.chittorgarh.com/ipo/dq_entertainment_ipo/231/,35.69,80.0,108.55,"Mon, Mar 29, 2010","Mon, Mar 29, 2010",10.0,75.0,80.0,80.0,80.0,Bookbuilding IPO,BSE,128.0,128.0,,,INE656K01010,11.0,94.03,634.26,100.0,73.85,93.8605,272.8808,19.4468,71.0997,1.0,1.0,4.827,132.68,0,,,,,,,,,,,5262.45,8.29,1.1,19.8,1,1,1,,,,,,0.3636,-254.0,-465.0,80.0,30.0,7.0,BANDHAN VALUE FUND | BANDHAN MUTUAL FUND | T.ROWE PRICE INTERNATIONAL DISCOVERY FUND | T.ROWE PRICE | ADITYA BIRLA SUN LIFE FLEXI CAP FUND,,,200.0,27.0,79.0,,115.0,1.46,13.5,3.41,,,,,444.0,100.0,70.0,35.0,0
Emmbi Polyarns Ltd.,2010,2010_222,emmbi_polyarns_ipo,https://www.chittorgarh.com/ipo/emmbi_polyarns_ipo/222/,-36.11,45.0,28.75,"Wed, Feb 24, 2010","Wed, Feb 24, 2010",10.0,40.0,45.0,45.0,150.0,Bookbuilding IPO,"BSE, NSE",39.0,39.0,EMMBI,533161.0,INE753K01015,17.46,99.17,74.21,100.0,46.62,0.474,6.1445,0.5084,1.329,0.0,0.0,0.932,2.18,0,EMMBI,24.95,-26.6,-46.99,-35.99,-51.42,-35.74,-51.27,-48.42,-59.74,4859.75,-2.96,-0.57,29.55,0,0,0,0.0,0.0,0.0,,,0.006,372.0,804.0,,,,,,,158.0,4.0,18.0,,69.0,3.83,2.53,2.43,200.0,,,,102.0,100.0,15.0,9.49,200.0
Engineers India Ltd.,2010,2010_252,engineers_india_fpo,https://www.chittorgarh.com/ipo/engineers_india_fpo/252/,10.67,290.0,320.95,"Thu, Aug 12, 2010","Thu, Aug 12, 2010",5.0,270.0,290.0,290.0,20.0,Bookbuilding FPO,"BSE, NSE",960.0,,ENGINERSIN,532178.0,INE510A01028,39.49,90.4,9771.16,,90.4,,,,100.0,0.0,0.0,,,0,ENGINERSIN,101.48,9.86,10.31,-10.83,-15.72,3.52,-4.05,-8.86,-9.08,5452.1,1.36,0.24,16.74,1,1,0,0.0,0.0,0.0,960.0,100.0,2.11,232.0,250.0,,,,,,,1846.0,483.0,168.0,,3817.0,22.72,26.16,14.34,158.0,,,Engineering,481.0,500.0,491.0,26.6,158.0
Eros International Media Ltd.,2010,2010_261,eros_ipo,https://www.chittorgarh.com/ipo/eros_ipo/261/,8.71,175.0,190.25,"Wed, Oct 6, 2010","Wed, Oct 6, 2010",10.0,158.0,175.0,175.0,40.0,Bookbuilding IPO,"BSE, NSE",350.0,350.0,EROSMEDIA,533261.0,INE416L01017,31.6,100.0,1599.62,100.0,78.12,29.7541,81.2974,13.2358,24.5972,1.0,0.0,2.248,41.91,0,EROSMEDIA,188.81,0.66,-17.48,-19.76,26.49,-0.88,-15.25,-14.9,44.41,6120.3,9.21,1.5,22.45,1,0,0,1.0,1.0,1.0,,,,133.0,126.0,175.0,30.0,8.0,"CITIGROUP GLOBAL MARKETS MAURITIUS PVT.LTD. | CITIGROUP | INDIA FUND INC.,THE | INDIA FUND | BANDHAN ELSS TAX SAVER FUND",,,1135.0,193.0,92.0,,433.0,4.71,17.0,21.11,,,,,796.0,100.0,300.0,26.43,0
Gallantt Ispat Ltd.,2010,2010_268,gallantt_ispat_ipo,https://www.chittorgarh.com/ipo/gallantt_ispat_ipo/268/,62.1,50.0,81.05,"Mon, Oct 11, 2010","Mon, Oct 11, 2010",10.0,,,50.0,125.0,Fixed Price IPO,"BSE, NSE",41.0,34.0,GALLISPAT,533265.0,INE528K01011,,1400000.0,1811.0,82.93,,3.2299,1.7552,1.3046,1.6774,0.0,0.0,2.476,2.4,0,,,,,,,,,,,6090.9,5.74,-0.89,20.51,1,1,1,,,,,,,114.0,102.0,,,,,,,561.0,27.0,29.0,,60.0,2.07,4.81,0.75,148.0,,,,420.0,100.0,52.0,9.27,148.0
Godrej Properties Ltd.,2010,2010_212,godrej_properties_ipo,https://www.chittorgarh.com/ipo/godrej_properties_ipo/212/,9.64,490.0,537.25,"Tue, Jan 5, 2010","Tue, Jan 5, 2010",10.0,490.0,530.0,490.0,13.0,Bookbuilding IPO,"BSE, NSE",469.0,469.0,GODREJPROP,533150.0,INE484J01027,25.33,96.87,3422.65,100.0,83.17,7.4494,0.409,0.3753,3.2822,1.0,0.0,19.849,3.92,0,GODREJPROP,239.71,-10.94,-2.02,17.83,15.44,-2.74,-3.61,17.47,0.84,5281.8,2.92,1.81,22.12,1,0,0,1.0,0.0,1.0,,,,898.0,657.0,530.0,30.0,4.0,JP MORGAN INDIA FUND | JP MORGAN | JP MORGAN EASTERN SMALLER COMPANIES FUND | WF INDIA RECONNAISSANCE FUND LTD. | WF INDIA,,,1179.0,236.0,99.0,,2574.0,26.0,20.02,33.79,322.0,,,,608.0,500.0,283.0,24.0,322.0
Goenka Diamond & Jewels Ltd.,2010,2010_237,goenka_ipo,https://www.chittorgarh.com/ipo/goenka_ipo/237/,-5.48,135.0,127.6,"Fri, Apr 16, 2010","Fri, Apr 16, 2010",10.0,135.0,145.0,135.0,40.0,Bookbuilding IPO,"BSE, NSE",127.0,127.0,GOENKA,533189.0,INE516K01024,38.96,19.98,436.44,100.0,0.0,0.7804,2.9955,0.6629,1.0715,0.0,0.0,1.177,1.42,0,GOENKA,12.24,-23.43,-38.32,-21.59,-47.57,-19.58,-40.67,-37.33,-58.25,5262.6,2.61,-0.79,21.78,0,0,0,0.0,0.0,0.0,,,,-185.0,523.0,,,,,,,3.0,0.0,13.0,,32.0,2.46,0.0,0.0,287.0,,,Retail,227.0,100.0,,,287.0
Gravita India Ltd.,2010,2010_280,gravita_ipo,https://www.chittorgarh.com/ipo/gravita_ipo/280/,67.76,125.0,209.7,"Tue, Nov 16, 2010","Tue, Nov 16, 2010",10.0,120.0,125.0,125.0,50.0,Bookbuilding IPO,"BSE, NSE",45.0,45.0,GRAVITA,533282.0,INE024L01027,49.71,99.94,170.25,100.0,73.51,6.04,182.52,37.34,42.8795,0.0,0.0,0.162,65.24,0,GRAVITA,36.49,10.82,10.7,69.25,97.67,11.49,19.17,77.64,117.43,5988.7,-1.22,-4.96,21.13,1,1,1,1.0,1.0,1.0,,,1.17,212.0,215.0,,,,,,,516.0,22.0,14.0,,82.0,5.86,4.26,16.15,300.0,,,,306.0,200.0,44.0,8.53,300.0
Gujarat Pipavav Port Ltd.,2010,2010_256,gujarat_pipavav_ipo,https://www.chittorgarh.com/ipo/gujarat_pipavav_ipo/256/,17.5,46.0,54.05,"Thu, Sep 9, 2010","Thu, Sep 9, 2010",10.0,42.0,48.0,46.0,130.0,Bookbuilding IPO,"BSE, NSE",554.0,500.0,GPPL,533248.0,INE517F01014,-33.4,57.9,1948.37,90.25,32.24,14.8161,93.1628,9.9468,18.2887,1.0,1.0,1.49,37.35,0,GPPL,34.65,7.31,5.83,10.27,23.96,-1.48,1.98,12.19,33.81,5640.05,4.05,2.81,15.92,1,1,0,1.0,0.0,1.0,54.0,9.75,0.0986,190.0,-0.3,46.0,28.87,20.0,INTERNATIONAL OPPORTUNITIES FUNDS-INDIA EQUITY | INTERNATIONAL OPPORTUNITIES FUNDS | DSP MID CAP FUND | DSP MUTUAL FUND | HDFC INFRASTRUCTURE FUND,,,518.0,192.0,483.0,,304.0,0.63,37.07,4.53,164.0,,,,450.0,100.0,257.0,49.61,164.0
