name,year,ipo_id,slug,url,listing_gain_pct,issue_price,listing_price,listing_date,listing_date_raw,face_value,price_band_low,price_band_high,offer_price,lot_size,sale_type,exchange,issue_size_cr,fresh_issue_cr,nse_symbol,bse_code,isin,ronw,promoter_holding_pre,market_cap_cr,fresh_issue_pct,promoter_holding_post,qib_sub,hni_sub,rii_sub,total_sub,anchor_data_available,has_top_anchor,qib_retail_ratio,sub_intensity_score,gmp_data_available,nse_ticker,listing_price_actual,return_1M,return_3M,return_6M,return_1Y,alpha_1M,alpha_3M,alpha_6M,alpha_1Y,nifty_at_listing,nifty_30d_return_pct,nifty_7d_return_pct,vix_at_listing,target_listing_positive,target_listing_gt10,target_listing_gt20,target_1y_positive,target_1y_gt25,target_beat_nifty,ofs_cr,ofs_pct,employee_sub,roe,roce,anchor_price,anchor_pct_of_qib,anchor_investors_count,anchor_names_sample,anchor_amount_cr,total_assets_cr,revenue_cr,pat_cr,net_worth_cr,reserves_cr,total_debt_cr,debt_equity,pat_margin_pct,eps,pe_ratio,revenue_per_share,price_to_book,sector,book_value,face_value_screener,ebitda_cr,ebitda_margin_pct,pb_ratio_screener
Multi Commodity Exchange of India Ltd.,2012,2012_177,mcx_ipo,https://www.chittorgarh.com/ipo/mcx_ipo/177/,25.65,1032.0,1296.7,"Fri, Mar 9, 2012","Fri, Mar 9, 2012",10.0,860.0,1032.0,1032.0,6.0,Bookbuilding IPO,BSE,663.0,,,,INE745G01035,20.77,100.0,5263.03,,,49.12,150.35,24.14,46.326,1.0,1.0,2.035,74.49,0,,,,,,,,,,,,,,,1,1,1,,,,663.0,100.0,0.18,343.0,429.0,1032.0,30.0,15.0,BAY POND MB | BAY POND | BLACKROCK GLOBAL FUNDS-ASIAN DRAGON FUND | BLACKROCK | DEUTSCHE SECURITIES MAURITIUS LTD.,,,341.0,153.0,51.0,,1743.0,34.18,44.87,30.0,753.0,,,,818.0,200.0,146.0,42.82,753.0
National Buildings Construction Corp.Ltd.,2012,2012_337,nbcc_ipo,https://www.chittorgarh.com/ipo/nbcc_ipo/337/,-8.54,106.0,96.95,"Thu, Apr 12, 2012","Thu, Apr 12, 2012",10.0,90.0,106.0,106.0,60.0,Bookbuilding IPO,"BSE, NSE",125.0,,NBCC,534309.0,INE095N01015,2147.0,20.0,1272.0,,20.0,7.07,1.7,3.4,4.9311,0.0,0.0,2.079,4.72,0,,,,,,,,,,,,,,,0,0,0,,,,125.0,100.0,0.09,,,,,,,,,,,,,,,,,,,,Infrastructure,,,,,
Olympic Cards Ltd.,2012,2012_336,olympic_cards_ipo,https://www.chittorgarh.com/ipo/olympic_cards_ipo/336/,-5.0,30.0,28.5,"Wed, Mar 28, 2012","Wed, Mar 28, 2012",10.0,30.0,32.0,30.0,200.0,Bookbuilding IPO,BSE,23.0,23.0,,,INE550L01013,19.81,94.35,50.31,100.0,48.63,0.0,3.4725,1.3774,1.003,0.0,0.0,,1.32,0,,,,,,,,,,,,,,,0,0,0,,,,,,,26.7,24.6,,,,,,,,,,,,,,,,,,,,,,,
PC Jeweller Ltd.,2012,2012_359,pc_jeweller_ipo,https://www.chittorgarh.com/ipo/pc_jeweller_ipo/359/,10.52,135.0,149.2,"Thu, Dec 27, 2012","Thu, Dec 27, 2012",10.0,125.0,135.0,135.0,90.0,Bookbuilding IPO,"BSE, NSE",601.0,601.0,PCJEWELLER,534809.0,INE785M01013,0.41,93.61,2417.85,100.0,68.75,7.33,18.12,1.68,5.8325,1.0,1.0,4.363,9.44,0,,,,,,,,,,,,,,,1,1,0,,,,,,0.96,,,135.0,30.0,11.0,DB INTERNATIONAL (ASIA) LTD. | NIPPON INDIA VISION LARGE & MID CAP FUND | NIPPON INDIA MUTUAL FUND | DVI FUND (MAURITIUS) LTD. | DVI FUND,,,,,,,,,,,,,,Retail,,,,,
Speciality Restaurants Ltd.,2012,2012_342,speciality_restaurants_ipo,https://www.chittorgarh.com/ipo/speciality_restaurants_ipo/342/,6.4,150.0,159.6,"Wed, May 30, 2012","Wed, May 30, 2012",10.0,146.0,155.0,150.0,40.0,Bookbuilding IPO,"BSE, NSE",176.0,176.0,SPECIALITY,534425.0,INE247M01014,17.0,80.92,704.36,100.0,55.93,4.68,2.19,0.55,2.159,1.0,1.0,8.509,3.11,0,,,,,,,,,,,,,,,1,0,0,,,,,,,19.7,24.8,150.0,30.0,5.0,HDFC LARGE & MID CAP FUND | HDFC MUTUAL FUND | INTERNATIONAL OPPORTUNITIES FUNDS-INDIA EQUITY | INTERNATIONAL OPPORTUNITIES FUNDS | SBI MNC FUND,,,264.0,19.0,47.0,,1.0,0.02,7.2,4.05,204.0,,,,694.0,100.0,34.0,12.88,204.0
Tribhovandas Bhimji Zaveri Ltd.,2012,2012_339,bhimji_zaveri_ipo,https://www.chittorgarh.com/ipo/bhimji_zaveri_ipo/339/,-7.5,120.0,111.0,"Wed, May 9, 2012","Wed, May 9, 2012",10.0,120.0,126.0,120.0,45.0,Bookbuilding IPO,"BSE, NSE",200.0,200.0,TBZ,534369.0,INE760L01018,44.2,98.9,800.0,100.0,73.9,1.29,1.91,0.68,0.976,1.0,0.0,1.897,1.35,0,,,,,,,,,,,,,,,0,0,0,,,,,,,109.0,28.5,120.0,30.0,3.0,HSBC GLOBAL INVESTMENT FUND MAURITIUS LTD. | HSBC | CREDIT SUISSE (SINGAPORE) LTD. | CREDIT SUISSE | HSBC INDIA ALPHA (MAURITIUS) LTD.,,,1824.0,55.0,67.0,,568.0,8.48,3.02,8.25,652.0,,,,104.0,100.0,139.0,7.62,652.0
Just Dial Ltd.,2013,2013_377,just_dial_ipo,https://www.chittorgarh.com/ipo/just_dial_ipo/377/,15.54,530.0,612.35,"Wed, Jun 5, 2013","Wed, Jun 5, 2013",10.0,470.0,543.0,530.0,25.0,Bookbuilding IPO,"BSE, NSE, MCX-SX",919.0,,,,INE599M01018,48.93,37.15,3703.26,,37.15,10.12,22.34,3.53,9.017,1.0,1.0,2.867,12.47,0,,,,,,,,,,,,,,,1,1,0,,,,919.0,100.0,,53.6,59.3,530.0,30.0,20.0,FID FUNDS (MAURITIUS) LTD. | FID FUNDS | FIDELITY FUNDS-EMERGING ASIA POOL | FIDELITY | HDFC VALUE FUND,,,,,,,,,,,,,,,,,,,
Power Grid Corp.of India Ltd.,2013,2013_398,power_grid_fpo,https://www.chittorgarh.com/ipo/power_grid_fpo/398/,10.28,90.0,99.25,"Thu, Dec 19, 2013","Thu, Dec 19, 2013",10.0,85.0,90.0,90.0,150.0,Bookbuilding FPO,"BSE, NSE",6959.0,5321.0,POWERGRID,532898.0,INE752E01010,16.15,100.0,47084.31,76.46,88.7,,,,100.0,0.0,0.0,,,0,,,,,,,,,,,,,,,1,1,0,,,,1637.0,23.52,0.38,170.0,128.0,,,,,,,15555.0,4548.0,5232.0,,84220.0,16.1,29.24,8.69,180.0,,,Energy,106.0,100.0,12967.0,83.36,180.0
Repco Home Finance Ltd.,2013,2013_369,repco_home_finance_ipo,https://www.chittorgarh.com/ipo/repco_home_finance_ipo/369/,-5.93,172.0,161.8,"Mon, Apr 1, 2013","Mon, Apr 1, 2013",10.0,165.0,172.0,172.0,75.0,Bookbuilding IPO,"BSE, NSE",270.0,270.0,REPCOHOME,535322.0,INE612J01015,22.28,50.02,1069.17,100.0,24.77,3.39,0.35,0.51,1.4078,1.0,1.0,6.647,1.9,0,,,,,,,,,,,,,,,0,0,0,,,,,,0.57,,,172.0,30.0,12.0,GOLDMAN SACHS INDIA FUND LTD. | GOLDMAN SACHS | ADITYA BIRLA SUN LIFE SMALL CAP FUND | ADITYA BIRLA SUN LIFE MUTUAL FUND | ADITYA BIRLA SUN LIFE INDIA GENNEXT FUND,,,,,,,,,,,,,,Banking & Finance,,,,,
V-Mart Retail Ltd.,2013,2013_363,v_mart_retail_ipo,https://www.chittorgarh.com/ipo/v_mart_retail_ipo/363/,-3.19,210.0,203.3,"Wed, Feb 20, 2013","Wed, Feb 20, 2013",10.0,195.0,215.0,210.0,66.0,Bookbuilding IPO,"BSE, NSE",94.0,58.0,VMART,534976.0,INE665J01013,20.2,69.51,377.13,61.7,54.13,1.52,1.3901,0.79,1.017,1.0,1.0,1.924,1.34,0,,,,,,,,,,,,,,,0,0,0,,,,36.0,38.3,,,,210.0,30.0,2.0,BANDHAN FLEXI CAP FUND | BANDHAN MUTUAL FUND | HDFC SMALL CAP FUND | HDFC MUTUAL FUND,,,,,,,,,,,,,,Retail,,,,,
Engineers India Ltd.,2014,2014_405,eil_fpo,https://www.chittorgarh.com/ipo/eil_fpo/405/,-1.83,150.0,147.25,"Fri, Feb 28, 2014","Fri, Feb 28, 2014",5.0,145.0,150.0,150.0,100.0,Bookbuilding FPO,"BSE, NSE",497.0,,ENGINERSIN,532178.0,INE510A01028,38.56,80.4,5054.05,,80.4,,,,100.0,0.0,0.0,,,0,,,,,,,,,,,,,,,0,0,0,,,,497.0,100.0,1.48,232.0,250.0,,,,,,,1846.0,483.0,168.0,,3817.0,22.72,26.16,14.34,158.0,,,Engineering,481.0,500.0,491.0,26.6,158.0
Monte Carlo Fashions Ltd.,2014,2014_437,monte_carlo_ipo,https://www.chittorgarh.com/ipo/monte_carlo_ipo/437/,-12.05,645.0,567.3,"Fri, Dec 19, 2014","Fri, Dec 19, 2014",10.0,630.0,645.0,645.0,23.0,Bookbuilding IPO,"BSE, NSE",350.0,,MONTECARLO,538836.0,INE950M01013,14.55,81.06,1401.72,,81.06,13.96,1.71,6.96,5.4845,1.0,1.0,2.006,8.88,0,,,,,,,,,,,,,,,0,0,0,,,,350.0,100.0,,978.0,128.0,645.0,60.0,10.0,ADITYA BIRLA PRIVATE EQUITY TRUST-ADITYA BIRLA PRIVATE EQUITY-FUND I | ADITYA BIRLA PRIVATE EQUITY TRUST | ADITYA BIRLA PRIVATE EQUITY TRUST-ADITYA BIRLA PRIVATE EQUITY-SUNRISE FUND | DB INTERNATIONAL (ASIA) LTD. | TATA MID CAP FUND,,,490.0,54.0,22.0,,118.0,5.36,11.02,24.85,115.0,,,,402.0,100.0,94.0,19.18,115.0
Sharda Cropchem Ltd.,2014,2014_430,sharda_cropchem_ipo,https://www.chittorgarh.com/ipo/sharda_cropchem_ipo/430/,48.04,156.0,230.95,"Tue, Sep 23, 2014","Tue, Sep 23, 2014",10.0,145.0,156.0,156.0,90.0,Bookbuilding IPO,"BSE, NSE",352.0,,SHARDACROP,538666.0,INE221J01015,19.34,84.13,1407.44,,84.13,32.0607,251.35,5.85,50.9713,1.0,1.0,5.48,92.61,0,,,,,,,,,,,,,,,1,1,1,,,,352.0,100.0,,126.0,165.0,156.0,30.0,18.0,DSP FOCUSED FUND | DSP MUTUAL FUND | DSP LARGE & MID CAP FUND | DSP NATURAL RESOURCES & NEW ENERGY FUND | KUWAIT INVESTMENT AUTHORITY FUND 224,,,790.0,111.0,90.0,,40.0,0.44,14.05,12.3,166.0,,,,297.0,100.0,160.0,20.25,166.0
Shemaroo Entertainment Ltd.,2014,2014_431,shemaroo_ipo,https://www.chittorgarh.com/ipo/shemaroo_ipo/431/,0.59,170.0,171.0,"Wed, Oct 1, 2014","Wed, Oct 1, 2014",10.0,155.0,170.0,170.0,85.0,Bookbuilding IPO,"BSE, NSE",120.0,120.0,SHEMAROO,538685.0,INE363M01019,15.63,41.68,462.1,100.0,15.71,6.2404,9.476,8.5437,5.7678,1.0,1.0,0.73,7.67,0,,,,,,,,,,,,,,,1,0,0,,,,,,,-166.0,-931.0,170.0,60.0,9.0,HDFC BALANCED ADVANTAGE FUND | HDFC MUTUAL FUND | HDFC VALUE FUND | ADITYA BIRLA SUN LIFE SMALL CAP FUND | ADITYA BIRLA SUN LIFE MUTUAL FUND,,,265.0,27.0,20.0,,183.0,9.15,10.19,9.93,,,,,140.0,100.0,65.0,24.53,0
Snowman Logistics Ltd.,2014,2014_428,snowman_logistics_ipo,https://www.chittorgarh.com/ipo/snowman_logistics_ipo/428/,69.79,47.0,79.8,"Fri, Sep 12, 2014","Fri, Sep 12, 2014",10.0,44.0,47.0,47.0,300.0,Bookbuilding IPO,"BSE, NSE",197.0,197.0,SNOWMAN,538635.0,INE734N01019,10.5,54.04,782.31,100.0,28.86,16.98,221.79,41.26,46.309,1.0,1.0,0.412,83.28,0,,,,,,,,,,,,,,,1,1,1,,,,,,,18.4,9.9,47.0,30.0,5.0,FAERING CAPITAL INDIA EVOLVING FUND | FAERING | ICICI PRUDENTIAL GROWTH FUND-SERIES 2 | ICICI PRUDENTIAL MUTUAL FUND | ICICI PRUDENTIAL VALUE FUND-SERIES 4,,,153.0,22.0,124.0,,146.0,1.18,14.38,1.32,,,,Logistics,243.0,100.0,38.0,24.84,0
Wonderla Holidays Ltd.,2014,2014_418,wonderla_holidays_ipo,https://www.chittorgarh.com/ipo/wonderla_holidays_ipo/418/,26.24,125.0,157.8,"Fri, Sep 5, 2014","Fri, Sep 5, 2014",10.0,115.0,125.0,125.0,100.0,Bookbuilding IPO,"BSE, NSE",181.0,181.0,WONDERLA,538268.0,INE066O01014,27.57,95.48,706.26,100.0,69.85,16.71,159.04,7.55,32.347,1.0,1.0,2.213,57.58,0,,,,,,,,,,,,,,,1,1,1,,,,,,,31.7,40.4,125.0,30.0,3.0,ADITYA BIRLA PRIVATE EQUITY TRUST | TVS SHRIRAM GROWTH FUND 1B | TVS SHRIRAM | HDFC INFRASTRUCTURE FUND | HDFC MUTUAL FUND,,,154.0,40.0,42.0,,24.0,0.57,25.97,7.08,412.0,,,,278.0,100.0,71.0,46.1,412.0
Adlabs Entertainment Ltd.,2015,2015_456,adlabs_entertainment_ipo,https://www.chittorgarh.com/ipo/adlabs_entertainment_ipo/456/,6.39,180.0,191.5,"Mon, Apr 6, 2015","Mon, Apr 6, 2015",10.0,180.0,215.0,180.0,65.0,Bookbuilding IPO,"BSE, NSE",375.0,338.0,IMAGICAA,539056.0,INE172N01012,-16.74,77.01,1438.16,90.13,53.51,2.92,0.688,1.295,1.1087,1.0,1.0,2.255,1.93,0,,,,,,,,,,,,,,,1,0,0,,,,37.0,9.87,,767.0,744.0,221.0,60.0,7.0,JAPAN TRUSTEE SERVICES BANK LTD.STB DAIWA INDIA STOCK ACTIVE MOTHER FUND | DAIWA | HDFC INFRASTRUCTURE FUND | HDFC MUTUAL FUND | AXIS MIDCAP FUND,,,189.0,-107.0,80.0,,1173.0,14.66,-56.61,-13.39,170.0,,,,222.0,100.0,20.0,10.58,170.0
Alkem Laboratories Ltd.,2015,2015_512,alkem_laboratories_ipo,https://www.chittorgarh.com/ipo/alkem_laboratories_ipo/512/,31.59,1050.0,1381.7,"Wed, Dec 23, 2015","Wed, Dec 23, 2015",2.0,1020.0,1050.0,1050.0,14.0,Bookbuilding IPO,"BSE, NSE",1348.0,,ALKEM,539523.0,INE540L01014,15.4,70.87,12554.33,,70.87,57.19,129.96,3.17,31.3119,1.0,1.0,18.041,68.22,0,,,,,,,,,,,,,,,1,1,1,,,,1348.0,100.0,0.67,194.0,204.0,1050.0,60.0,47.0,ABU DHABI INVESTMENT AUTHORITY-BEHAVE | ABU DHABI INVESTMENT | DSP MID CAP FUND | DSP MUTUAL FUND | MORGAN STANLEY MAURITIUS CO.LTD.,,,3113.0,435.0,12.0,,1128.0,94.0,13.97,36.38,267.0,,,,1116.0,200.0,413.0,13.27,267.0
Coffee Day Enterprises Ltd.,2015,2015_507,cafe_coffee_day_ipo,https://www.chittorgarh.com/ipo/cafe_coffee_day_ipo/507/,-17.38,328.0,271.0,"Mon, Nov 2, 2015","Mon, Nov 2, 2015",10.0,316.0,328.0,328.0,45.0,Bookbuilding IPO,"BSE, NSE",1150.0,1150.0,COFFEEDAY,539436.0,INE335K01011,-32.62,63.34,6756.86,100.0,46.32,4.6817,0.5605,0.9342,1.3415,1.0,1.0,5.011,2.7,0,,,,,,,,,,,,,,,0,0,0,,,,,,0.8927,-96.0,101.0,328.0,60.0,17.0,BLACKROCK INDIA EQUITIES (MAURITIUS) LTD. | BLACKROCK | GOVERNMENT PENSION FUND GLOBAL | PLATINUM ASIA FUND | PLATINUM,,,2177.0,-63.0,14.0,,3579.0,255.64,-2.89,-3.06,,,,,123.0,100.0,321.0,14.75,0
Dr.Lal PathLabs Ltd.,2015,2015_511,dr_lal_pathlabs_ipo,https://www.chittorgarh.com/ipo/dr_lal_pathlabs_ipo/511/,50.0,550.0,825.0,"Wed, Dec 23, 2015","Wed, Dec 23, 2015",10.0,540.0,550.0,550.0,20.0,Bookbuilding IPO,"BSE, NSE",632.0,,LALPATHLAB,539524.0,INE600L01024,27.85,63.67,4545.46,,63.67,63.56,61.28,4.24,23.388,1.0,1.0,14.991,51.01,0,,,,,,,,,,,,,,,1,1,1,,,,632.0,100.0,,243.0,289.0,550.0,60.0,26.0,FIDELITY INVESTMENT TRUST: FIDELITY INTERNATIONAL DISCOVERY FUND | FIDELITY | T.ROWE PRICE INTERNATIONAL DISCOVERY FUND | T.ROWE PRICE | FIRST STATE INDIAN SUBCONTINENT FUND,,,558.0,80.0,54.0,,28.0,0.52,14.34,9.68,422.0,,,,143.0,100.0,139.0,24.91,422.0
Inox Wind Ltd.,2015,2015_438,inox_wind_ipo,https://www.chittorgarh.com/ipo/inox_wind_ipo/438/,34.89,325.0,438.4,"Thu, Apr 9, 2015","Thu, Apr 9, 2015",10.0,315.0,325.0,325.0,45.0,Bookbuilding IPO,"BSE, NSE",1021.0,701.0,INOXWIND,539083.0,INE066P01011,31.32,100.0,7212.34,68.66,90.28,37.6911,36.1777,2.1985,13.5211,1.0,1.0,17.144,30.14,0,,,,,,,,,,,,,,,1,1,1,,,,320.0,31.34,0.1201,117.0,115.0,325.0,60.0,37.0,SUNDARAM LARGE & MID CAP FUND | SUNDARAM MUTUAL FUND | SUNDARAM VALUE FUND | SUNDARAM INFRASTRUCTURE ADVANTAGE FUND | SUNDARAM MID CAP FUND,,,1567.0,132.0,200.0,,557.0,2.79,8.42,5.95,302.0,,,,386.0,100.0,176.0,11.23,302.0
InterGlobe Aviation Ltd.,2015,2015_492,indigo_ipo,https://www.chittorgarh.com/ipo/indigo_ipo/492/,14.67,765.0,877.25,"Tue, Nov 10, 2015","Tue, Nov 10, 2015",10.0,700.0,765.0,765.0,15.0,Bookbuilding IPO,"BSE, NSE",3017.0,1272.0,INDIGO,539448.0,INE646L01027,,,3847.0,42.16,,20.3107,3.7088,0.9558,4.6847,1.0,1.0,21.25,11.46,0,,,,,,,,,,,,,,,1,1,0,,,,1745.0,57.84,0.13,146.0,195.0,765.0,60.0,43.0,FIDELITY MT.VERNON STREET TRUST: FIDELITY SERIES GROWTH CO.FUND | FIDELITY | FIDELITY MT.VERNON STREET TRUST: FIDELITY GROWTH CO.FUND | FIDELITY SECURITIES FUND: FIDELITY BLUE CHIP GROWTH FUND | FIDELITY SECURITIES FUND: FIDELITY SERIES BLUE CHIP GROWTH FUND,,,64.0,0.0,44.0,,14.0,0.32,0.0,0.0,258.0,,,,228.0,100.0,3.0,4.69,258.0
MEP Infrastructure Developers Ltd.,2015,2015_467,mep_infrastructure_ipo,https://www.chittorgarh.com/ipo/mep_infrastructure_ipo/467/,-7.3,63.0,58.4,"Wed, May 6, 2015","Wed, May 6, 2015",10.0,63.0,65.0,63.0,225.0,Bookbuilding IPO,"BSE, NSE",324.0,324.0,MEP,539126.0,INE776I01010,-79.77,97.17,1024.19,100.0,65.54,1.03,1.5205,0.9767,0.8736,1.0,1.0,1.055,1.17,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,65.0,29.08,5.0,HDFC INFRASTRUCTURE FUND | HDFC MUTUAL FUND | HDFC BALANCED ADVANTAGE FUND | TATA OFFSHORE INDIA OPPORTUNITIES SCHEME | TATA,,,,,,,,,,,,,,Infrastructure,,,,,
Navkar Corp.Ltd.,2015,2015_488,navkar_corporation_ipo,https://www.chittorgarh.com/ipo/navkar_corporation_ipo/488/,7.65,155.0,166.85,"Wed, Sep 9, 2015","Wed, Sep 9, 2015",10.0,147.0,155.0,155.0,95.0,Bookbuilding IPO,"BSE, NSE",600.0,510.0,NAVKARCORP,539332.0,INE278M01019,,,1420.0,85.0,,6.8221,0.949,1.7082,2.1046,1.0,1.0,3.994,4.04,0,,,,,,,,,,,,,,,1,0,0,,,,90.0,15.0,,-196.0,-183.0,155.0,60.0,28.0,HDFC INFRASTRUCTURE FUND | HDFC MUTUAL FUND | HDFC FOCUSED FUND | SBI MIDCAP FUND | SBI MUTUAL FUND,,,349.0,90.0,18.0,,439.0,24.39,25.79,9.82,,,,,129.0,100.0,124.0,35.53,0
Ortel Communications Ltd.,2015,2015_455,ortel_communications_ipo,https://www.chittorgarh.com/ipo/ortel_communications_ipo/455/,-10.36,181.0,162.25,"Thu, Mar 19, 2015","Thu, Mar 19, 2015",10.0,181.0,200.0,181.0,75.0,Bookbuilding IPO,"BSE, NSE",174.0,109.0,ORTEL,539015.0,INE849L01019,-243.7,64.03,549.61,62.64,44.2,1.0047,0.0903,0.3908,0.592,1.0,1.0,2.571,0.61,0,,,,,,,,,,,,,,,0,0,0,,,,65.0,37.36,,,-134.0,181.0,28.42,3.0,AXIS MIDCAP FUND | AXIS MUTUAL FUND | AXIS SMALL CAP FUND | ICICI PRUDENTIAL LIFE INSURANCE CO.LTD. | ICICI PRUDENTIAL LIFE INSURANCE,,,75.0,1.0,17.0,,155.0,9.12,1.33,0.33,,,,,-234.0,100.0,17.0,22.67,
PNC Infratech Ltd.,2015,2015_469,pnc_infratech_ipo,https://www.chittorgarh.com/ipo/pnc_infratech_ipo/469/,-4.63,378.0,360.5,"Tue, May 26, 2015","Tue, May 26, 2015",10.0,355.0,378.0,378.0,35.0,Bookbuilding IPO,"BSE, NSE",488.0,435.0,PNCINFRA,539150.0,INE195J01011,8.51,72.27,1939.44,89.14,49.84,4.51,0.65,0.28,1.1362,1.0,1.0,16.107,2.51,0,,,,,,,,,,,,,,,0,0,0,,,,54.0,11.07,11.1006,,,378.0,60.0,24.0,NIPPON INDIA CLOSE ENDED EQUITY FUND-SERIES A | NIPPON INDIA MUTUAL FUND | NIPPON INDIA CAPITAL BUILDER FUND-SERIES C | NIPPON INDIA MULTI CAP FUND | HSBC MID CAP FUND,,,,,,,,,,,,,,Technology,,,,,
Pennar Engineered Building Systems Ltd.,2015,2015_490,pennar_engineered_ipo,https://www.chittorgarh.com/ipo/pennar_engineered_ipo/490/,-4.78,178.0,169.5,"Thu, Sep 10, 2015","Thu, Sep 10, 2015",10.0,170.0,178.0,178.0,80.0,Bookbuilding IPO,"BSE, NSE",156.0,58.0,PENPEBS,539333.0,INE455O01019,,,215.0,37.18,,2.2961,1.4652,0.4172,0.825,1.0,1.0,5.504,1.67,0,,,,,,,,,,,,,,,0,0,0,,,,98.0,62.82,,836.0,157.0,178.0,60.0,14.0,DSP 3 YEARS CLOSE ENDED EQUITY FUND | DSP MUTUAL FUND | NOMURA SINGAPORE LTD. | NOMURA | INVESCO INDIA MULTICAP FUND,,,31.0,0.0,25.0,,43.0,1.72,0.0,0.0,140.0,,,Engineering,591.0,100.0,2.0,6.45,140.0
Power Mech Projects Ltd.,2015,2015_486,power_mech_projects_ipo,https://www.chittorgarh.com/ipo/power_mech_projects_ipo/486/,-9.38,640.0,580.0,"Wed, Aug 26, 2015","Wed, Aug 26, 2015",10.0,615.0,640.0,640.0,20.0,Bookbuilding IPO,"BSE, NSE",273.0,136.0,POWERMECH,539302.0,INE211R01019,,,7008.0,49.82,,27.53,133.22,3.42,26.686,1.0,1.0,8.05,54.41,0,,,,,,,,,,,,,,,0,0,0,,,,137.0,50.18,,163.0,229.0,640.0,60.0,10.0,DSP INDIA T.I.G.E.R.FUND | DSP MUTUAL FUND | SBI FLEXICAP FUND | SBI MUTUAL FUND | SBI SMALL CAP FUND,,,1200.0,68.0,11.0,,209.0,19.0,5.67,6.21,207.0,,,Energy,723.0,100.0,155.0,12.92,207.0
Prabhat Dairy Ltd.,2015,2015_491,prabhat_dairy_ipo,https://www.chittorgarh.com/ipo/prabhat_dairy_ipo/491/,0.83,115.0,115.95,"Mon, Sep 21, 2015","Mon, Sep 21, 2015",10.0,115.0,126.0,115.0,102.0,Bookbuilding IPO,"BSE, NSE",356.0,300.0,PRABHAT,539351.0,INE302M01033,,,,84.27,,1.0096,1.6291,0.3901,0.8857,0.0,0.0,2.588,1.07,0,,,,,,,,,,,,,,,1,0,0,,,,56.0,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,
S H Kelkar & Co.Ltd.,2015,2015_508,s_h_kelkar_ipo,https://www.chittorgarh.com/ipo/s_h_kelkar_ipo/508/,16.58,180.0,209.85,"Mon, Nov 16, 2015","Mon, Nov 16, 2015",10.0,173.0,180.0,180.0,80.0,Bookbuilding IPO,"BSE, NSE",508.0,210.0,SHK,539450.0,INE500L01026,17.7,64.2,2603.17,41.34,56.13,26.6168,88.8439,2.0125,19.3543,1.0,1.0,13.226,40.36,0,,,,,,,,,,,,,,,1,1,0,,,,298.0,58.66,,,,180.0,60.0,17.0,"SMALLCAP WORLD FUND,INC. | SMALLCAP WORLD FUND | AMERICAN FUNDS INSURANCE SERIES-GLOBAL SMALL CAPITALIZATION FUND | AMERICAN FUNDS INSURANCE SERIES | T.ROWE PRICE INTERNATIONAL DISCOVERY FUND",,,,,,,,,,,,,,,,,,,
Sadbhav Infrastructure Project Ltd.,2015,2015_494,sadbhav_infra_ipo,https://www.chittorgarh.com/ipo/sadbhav_infra_ipo/494/,3.11,103.0,106.2,"Wed, Sep 16, 2015","Wed, Sep 16, 2015",10.0,100.0,103.0,103.0,145.0,Bookbuilding IPO,"BSE, NSE",492.0,425.0,SADBHIN,539346.0,INE764L01010,,,1000.0,86.38,,3.2354,1.7027,1.7335,1.3434,1.0,1.0,1.866,2.48,0,,,,,,,,,,,,,,,1,0,0,,,,67.0,13.62,0.2987,,140.0,103.0,60.0,11.0,HDFC INFRASTRUCTURE FUND | HDFC MUTUAL FUND | HDFC FLEXI CAP FUND | TATA LARGE & MID CAP FUND | TATA MUTUAL FUND,,,371.0,-196.0,26.0,,4998.0,192.23,-52.83,-20.19,324.0,,,Infrastructure,-148.0,100.0,242.0,65.23,
Shree Pushkar Chemicals & Fertilisers Ltd.,2015,2015_493,shree_pushkar_chemicals_ipo,https://www.chittorgarh.com/ipo/shree_pushkar_chemicals_ipo/493/,-3.0,65.0,63.05,"Thu, Sep 10, 2015","Thu, Sep 10, 2015",10.0,61.0,65.0,65.0,200.0,Bookbuilding IPO,"BSE, NSE",70.0,57.0,SHREEPUSHK,539334.0,INE712K01011,,,1083.0,81.43,,1.0336,2.2271,1.641,1.4252,0.0,0.0,0.63,1.51,0,,,,,,,,,,,,,,,0,0,0,,,,13.0,18.57,,114.0,116.0,,,,,,,306.0,30.0,30.0,,15.0,0.5,9.8,1.8,147.0,,,Chemicals,179.0,100.0,52.0,16.99,147.0
Syngene International Ltd.,2015,2015_481,syngene_international_ipo,https://www.chittorgarh.com/ipo/syngene_international_ipo/481/,24.22,250.0,310.55,"Tue, Aug 11, 2015","Tue, Aug 11, 2015",10.0,240.0,250.0,250.0,60.0,Bookbuilding IPO,"BSE, NSE",550.0,,SYNGENE,539268.0,INE398R01022,,,16228.0,,,51.47,90.24,4.78,23.3091,1.0,1.0,10.768,53.76,0,,,,,,,,,,,,,,,1,1,1,,,,550.0,100.0,,105.0,135.0,250.0,60.0,14.0,"MONETARY AUTHORITY OF SINGAPORE | GOVERNMENT OF SINGAPORE | OPPENHEIMER EMERGING MARKETS INNOVATORS FUND | OPPENHEIMER | MASTER TRUST BANK OF JAPAN LTD.,THE AS TRUSTEE OF BLACKROCK INDIA EQUITY FUND",,,1423.0,305.0,200.0,,787.0,3.94,21.43,4.7,396.0,,,,118.0,100.0,474.0,33.31,396.0
